giorno,temperatura,err. t,pioggia,err. p
1,15.320667156961218,0.5,3.7599697538657892,1.0
2,23.121116696691757,0.5,2.6212128974108295,1.0
3,7.6939320976611825,0.5,2.3713289429440287,1.0
4,4.666394390260647,0.5,0.7910172062098553,1.0
5,18.670213783334496,0.5,5.785291830243602,1.0
6,10.365367680992318,0.5,6.24748671474464,1.0
7,22.89902082402751,0.5,3.139927880458332,1.0
8,12.420354548894696,0.5,4.5267552531461845,1.0
9,8.935558352417186,0.5,7.4095797545618485,1.0
10,33.960191841633666,0.5,6.002494011002581,1.0
11,32.97797945120534,0.5,6.402921322974089,1.0
12,7.428719580413912,0.5,6.582402665957291,1.0
13,14.411010559004541,0.5,6.5436758586947,1.0
14,12.216138564742602,0.5,5.25448281917572,1.0
15,30.6111753201127,0.5,4.432312173445016,1.0
16,14.0674021691286,0.5,1.7388408925541854,1.0
17,21.202260862979127,0.5,0.17711511343562414,1.0
18,2.5889350369751756,0.5,1.372492221219408,1.0
19,19.18961505427606,0.5,5.83350431276426,1.0
20,0.552210627024925,0.5,9.038584362032582,1.0
21,9.479881869901238,0.5,3.5156273668069495,1.0
22,32.0571395312738,0.5,8.708129684717436,1.0
23,10.421564305768337,0.5,5.869662385072505,1.0
24,11.075127126134154,0.5,0.6531702424502317,1.0
25,6.484644052831664,0.5,2.2866338348032333,1.0
26,6.676126118830441,0.5,5.543816863544025,1.0
27,5.969020983323558,0.5,1.955107582952198,1.0
28,2.0096930021145765,0.5,4.3663079522830035,1.0
29,1.6241245937638276,0.5,5.070338046238763,1.0
30,24.045594417358245,0.5,7.250045889083088,1.0
